id,EconomicRegion,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CMAUID,CMANAME,CMATYPE,CMAPUID,SACTYPE,SACCODE,ERUID,ERNAME,CCSUID,CCSNAME
,Calgary,4806014,Rocky View County,MD,48,Alberta,4806,Division No.  6,CDR,825,Calgary,B,48825,1,825,4830,Calgary,4806014,Rocky View County
,Calgary,4806804,Tsuu T'ina Nation 145 (Sarcee 145),IRI,48,Alberta,4806,Division No.  6,CDR,825,Calgary,B,48825,1,825,4830,Calgary,4806014,Rocky View County
,Calgary,4806019,Cochrane,T,48,Alberta,4806,Division No.  6,CDR,825,Calgary,B,48825,1,825,4830,Calgary,4806014,Rocky View County
,Calgary,4806017,Chestermere,T,48,Alberta,4806,Division No.  6,CDR,825,Calgary,B,48825,1,825,4830,Calgary,4806014,Rocky View County
,Calgary,4806006,High River,T,48,Alberta,4806,Division No.  6,CDR,821,High River,D,48821,3,821,4830,Calgary,4806001,Foothills No. 31
,Calgary,4815027,Ghost Lake,SV,48,Alberta,4815,Division No. 15,CDR,,,,,4,996,4840,Banff--Jasper--Rocky Mountain House,4815015,Bighorn No. 8
,Palliser,4802032,Tilley,VL,48,Alberta,4802,Division No.  2,CDR,806,Brooks,D,48806,3,806,4810,Lethbridge--Medicine Hat,4802031,Newell County No. 4
,Calgary,4806001,Foothills No. 31,MD,48,Alberta,4806,Division No.  6,CDR,,,,,4,996,4830,Calgary,4806001,Foothills No. 31
,South Central,4802011,Lethbridge County,MD,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,Southwest,4803003,Improvement District No. 4 Waterton,ID,48,Alberta,4803,Division No.  3,CDR,,,,,6,998,4810,Lethbridge--Medicine Hat,4803011,Pincher Creek No. 9
,Calgary,4805021,Standard,VL,48,Alberta,4805,Division No.  5,CDR,,,,,5,997,4820,Camrose--Drumheller,4805012,Wheatland County
,Southwest,4815007,Crowsnest Pass,SM,48,Alberta,4815,Division No. 15,CDR,,,,,6,998,4840,Banff--Jasper--Rocky Mountain House,4815007,Crowsnest Pass
,South Central,4802008,Raymond,T,48,Alberta,4802,Division No.  2,CDR,,,,,4,996,4810,Lethbridge--Medicine Hat,4802001,Warner County No. 5
,South Central,4802016,Barons,VL,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,Southwest,4815045,Ranchland No. 66,MD,48,Alberta,4815,Division No. 15,CDR,,,,,7,999,4840,Banff--Jasper--Rocky Mountain House,4815045,Ranchland No. 66
,Palliser,4801018,Redcliff,T,48,Alberta,4801,Division No.  1,CDR,805,Medicine Hat,K,48805,2,805,4810,Lethbridge--Medicine Hat,4801003,Cypress County
,South Central,4802018,Picture Butte,T,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,Palliser,4801009,Foremost,VL,48,Alberta,4801,Division No.  1,CDR,,,,,6,998,4810,Lethbridge--Medicine Hat,4801008,Forty Mile County No. 8
,South Central,4802006,Warner,VL,48,Alberta,4802,Division No.  2,CDR,,,,,5,997,4810,Lethbridge--Medicine Hat,4802001,Warner County No. 5
,South Central,4802002,Coutts,VL,48,Alberta,4802,Division No.  2,CDR,,,,,5,997,4810,Lethbridge--Medicine Hat,4802001,Warner County No. 5
,South Central,4805004,Champion,VL,48,Alberta,4805,Division No.  5,CDR,,,,,5,997,4820,Camrose--Drumheller,4805001,Vulcan County
,Calgary,4815035,Banff,T,48,Alberta,4815,Division No. 15,CDR,,,,,6,998,4840,Banff--Jasper--Rocky Mountain House,4815032,Improvement District No.  9 Banff
,Palliser,4802036,Duchess,VL,48,Alberta,4802,Division No.  2,CDR,806,Brooks,D,48806,3,806,4810,Lethbridge--Medicine Hat,4802031,Newell County No. 4
,Palliser,4802034,Brooks,CY,48,Alberta,4802,Division No.  2,CDR,806,Brooks,D,48806,3,806,4810,Lethbridge--Medicine Hat,4802031,Newell County No. 4
,Palliser,4801003,Cypress County,MD,48,Alberta,4801,Division No.  1,CDR,805,Medicine Hat,K,48805,2,805,4810,Lethbridge--Medicine Hat,4801003,Cypress County
,South Central,4802012,Lethbridge,CY,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,South Central,4802014,Nobleford,VL,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,Southwest,4803022,Claresholm,T,48,Alberta,4803,Division No.  3,CDR,,,,,5,997,4810,Lethbridge--Medicine Hat,4803018,Willow Creek No. 26
,South Central,4802013,Coalhurst,T,48,Alberta,4802,Division No.  2,CDR,810,Lethbridge,K,48810,2,810,4810,Lethbridge--Medicine Hat,4802011,Lethbridge County
,South Central,4805009,Milo,VL,48,Alberta,4805,Division No.  5,CDR,,,,,5,997,4820,Camrose--Drumheller,4805001,Vulcan County
