icon_size,name,latitude,longitude,address,special,special_1,special_2
large,Calgary International Airport,51.11389923,-114.0199966,"15 St NE, Calgary, AB T2E 8E5",Elevation: 3557 ft.,IATA: YYC,ICAO: CYYC
large,Edmonton International Airport,53.30970001,-113.5800018,"1000 Airport Rd, Nisku, AB T9E 0V3",Elevation: 2373 ft.,IATA: YEG,ICAO: CYEG
medium,Calgary / Springbank Airport,51.10309982,-114.3740005,"170 MacLaurin Dr, Calgary, AB T3Z 3S4",Elevation: 3940 ft.,,ICAO: CYBW
medium,Red Deer Regional Airport,52.18220139,-113.8939972,"3801 Airport Dr, Springbrook, AB T4S 2G4",Elevation: 2968 ft.,IATA: YQF,ICAO: CYQF
medium,Lethbridge County Airport,49.63029861,-112.8000031,"Kenyon Dr, Welling, AB T0K 2N0",Elevation: 3048 ft.,IATA: YQL,ICAO: CYQL
medium,Grande Prairie Airport,55.17969894,-118.8850021,"10910 Airport Dr Unit 102, Grande Prairie, AB T8V 7Z5",Elevation: 2195 ft.,IATA: YQU,ICAO: CYQU
medium,Fort McMurray Airport,56.65330124,-111.2220001,"Snow Eagle Dr, Fort McMurray, AB T9H 0B6",Elevation: 1211 ft.,IATA: YMM,ICAO: CYMM
medium,Medicine Hat Airport,50.01890182,-110.7210007,"49 Viscount Ave SW, Medicine Hat, AB T1A 5G4",Elevation: 2352 ft.,IATA: YXH,ICAO: CYXH
medium,Lloydminster Airport,53.30920029,-110.072998,"Township Rd 502, Blackfoot, AB T0B 0L0",Elevation: 2193 ft.,IATA: YLL,ICAO: CYLL
medium,CFB Cold Lake,54.40499878,-110.2789993,"Hangar Ln, Cherry Grove, AB T0A 0T0",Elevation: 1775 ft.,IATA: YOD,ICAO: CYOD
medium,High Level Airport,58.62139893,-117.1650009,"Range Rd 194B, Clairmont, AB T0H",Elevation: 1110 ft.,IATA: YOJ,ICAO: CYOJ
medium,Peace River Airport,56.22689819,-117.4469986,"AB-2, Grimshaw, AB T0H 1W0",Elevation: 1873 ft.,IATA: YPE,ICAO: CYPE
medium,Slave Lake Airport,55.29309845,-114.7770004,"404 10 Ave NW, Slave Lake, AB T0G 2A1",Elevation: 1912 ft.,IATA: YZH,ICAO: CYZH
medium,Edson Airport,53.57889938,-116.4649963,"6615-6627 Glenaire Rd, Edson, AB T7E",Elevation: 3043 ft.,IATA: YET,ICAO: CYET
medium,Pincher Creek Airport,49.52059937,-113.9970016,"Pincher Creek Airport, Pincher Creek, AB T0K 1W0",Elevation: 3903 ft.,IATA: WPC,ICAO: CZPC
medium,Fort Chipewyan Airport,58.76720047,-111.1169968,"Fort Chipewyan Airport (YPY), Fort Chipewyan, AB T0P",Elevation: 761 ft.,IATA: YPY,ICAO: CYPY
medium,Whitecourt Airport,54.14390182,-115.7870026,"Unnamed Road, Woodlands County, AB T0E",Elevation: 2567 ft.,IATA: YZU,ICAO: CYZU
medium,Rainbow Lake Airport,58.49140167,-119.4079971,"45 Home Rd, Rainbow Lake, AB T0H 2Y0",Elevation: 1759 ft.,IATA: YOP,ICAO: CYOP
medium,Bonnyville Airport,54.30419922,-110.7440033,"Bonnyville Airport (YBY), Buffalo Trail, Bonnyville, AB T9N 0B6",Elevation: 1836 ft.,IATA: YBY,ICAO: CYBF
small,Edmonton/Cooking Lake Seaplane Base,53.42559398,-113.105793,"51412 Range Rd 220, Sherwood Park, AB T8E 1H1",Elevation: 2419 ft.,,ICAO: CEE7
small,High Level/Footner Lake Seaplane Base,58.61669922,-117.1829987,"Unnamed Road, Clairmont, AB T0H",Elevation: 1084 ft.,,ICAO: CEK7
small,Fort McMurray Seaplane Base,56.73329926,-111.3669968,"9903 Morimoto Dr, Fort McMurray, AB T9H 5E3",Elevation: 795 ft.,,ICAO: CES7
