icon_size,type,name,latitude,longitude,special,address,special_1,special_2
medium,heliport,Canmore Municipal Heliport,51.07780075,-115.3379974,Elevation: 4296 ft.,Canmore,,CEW9
medium,heliport,Edmonton / St. Albert (Delta Helicopters) Heliport,53.68669436,-113.6873388,Elevation: 2265 ft.,Edmonton,,CES3
medium,heliport,Kananaskis/Nakoda,51.103333,-115.012222,Elevation: 4260 ft.,Kananaskis,,CNK7
medium,heliport,Wainwright / Camp Wainwright Field,52.82793368,-110.9042788,Elevation: 2170 ft.,Wainwright,,CFF7
medium,heliport,Banff (Park Compound Heliport) Heliport,51.19169998,-115.5579987,Elevation: 4570 ft.,Banff,,CBP2
medium,heliport,Barrhead (Healthcare Centre) Heliport,54.11828206,-114.4000661,Elevation: 2121 ft.,Barrhead,,CHC3
medium,heliport,Bassano (Health Centre) Heliport,50.79029846,-112.4609985,Elevation: 2606 ft.,Bassano,,CBL4
medium,heliport,Black Diamond (Oilfields General Hospital) Heliport,50.67890167,-114.2340012,Elevation: 3906 ft.,Black Diamond,,CFL3
medium,heliport,Blairmore (Crowsnest Pass Hospital) Heliport,49.61610031,-114.4570007,Elevation: 4292 ft.,Blairmore,,CBS9
medium,heliport,Blairmore (Forestry) Heliport,49.60860062,-114.4509964,Elevation: 4224 ft.,Blairmore,,CEK4
medium,heliport,Boyle (Healthcare Centre) Heliport,54.58330154,-112.8000031,Elevation: 2150 ft.,Boyle,,CHJ4
medium,heliport,Brooks (Community Health Centre) Heliport,50.56940079,-111.8889999,Elevation: 2496 ft.,Brooks,,CFV8
medium,heliport,Calgary (City / Bow River) Heliport,51.05283429,-114.0788434,Elevation: 3443 ft.,Calgary,,CEL2
medium,heliport,Calgary (Rockyview Hospital) Heliport,50.9882787,-114.0983015,Elevation: 3590 ft.,Calgary,,CEM2
medium,heliport,Calgary (Bow Crow) Heliport,51.10316489,-114.2149615,Elevation: 3540 ft.,Calgary,,CEP2
medium,heliport,Calgary (Foothills Hospital) Heliport,51.0655723,-114.1331877,Elevation: 3635 ft.,Calgary,,CFP3
medium,heliport,Camrose / St Mary's Hospital Heliport,53.01513825,-112.8301692,Elevation: 2413 ft.,Camrose,,CMR6
medium,heliport,Castor (Our Lady of the Rosary Hospital) Heliport,52.22350134,-111.9065773,Elevation: 2678 ft.,Castor,,CCR7
medium,heliport,Claresholm (General Hospital) Heliport,50.01860046,-113.5830002,Elevation: 3394 ft.,Claresholm,,CFV7
medium,heliport,Cline River Heliport,52.17890167,-116.4789963,Elevation: 4386 ft.,Cline River,,CCR5
medium,heliport,Coronation (Health Centre) Heliport,52.09607263,-111.4597535,Elevation: 2614 ft.,Coronation,,CRH2
medium,heliport,Daysland Health Centre Heliport,52.8689003,-112.2730026,Elevation: 2307 ft.,Daysland,,CDL3
