icon_size,name,address,latitude,longitude,special,special_1,special_2
large,Foothills Medical Centre,"1403 29 Street NW, Calgary, AB T2N 2T9",51.064121,-114.134811,Tertiary,,
large,Royal Alexandra Hospital,"10240 Kingsway Avenue NW, Edmonton, AB T5H 3V9",53.556936,-113.496805,Tertiary,,
large,University of Alberta Hospital,"8440 112 Street NW, Edmonton, AB T6G 2B7",53.519742,-113.523263,Tertiary,,
small,Alberta Children's Hospital,"2888 Shaganappi Trail NW, Calgary, AB T3B 6A8",51.129291,-114.129415,Specialty Care,,
small,Stollery Children's Hospital,"8440 112 Street Northwest, Edmonton, AB T6G 2B7",53.519742,-113.523263,Specialty Care,,
small,Glenrose Rehabilitation Hospital,"10230 111 Avenue Northwest, Edmonton, AB T5G 0B7",53.560101,-113.497653,Specialty Care,,
small,Tom Baker Cancer Centre,"1331 29 Street Northwest, Calgary, AB T2N 4N2",51.063131,-114.133258,Specialty Care,,
small,Margery E. Yuill Cancer Centre,"666 5 Street SW, Medicine Hat, AB T1A 4H6",50.0356,-110.7038,Specialty Care,,
small,Jack Ady Cancer Centre,"960 19 St S, Lethbridge, AB T1J 1W5",49.68535,-112.815185,Specialty Care,,
small,Cross Cancer Institute,"11560 University Avenue Northwest, Edmonton, AB T6G 1Z2",53.51819,-113.531089,Specialty Care,,
small,Central Alberta Cancer Centre,"3942 50a Ave, Red Deer, AB T4N 4E7",52.260654,-113.817445,Specialty Care,,
small,Grande Prairie Cancer Centre,"10409 98 St, Grande Prairie, AB T8V 2E8",55.175292,-118.786568,Specialty Care,,
small,Centennial Centre for Mental Health and Brain Injury,"Range Road 255, Ponoka, AB T4J 1R8",52.690767,-113.607679,Specialty Care,,
small,Alberta Hospital Edmonton,"17480 Fort Road, Edmonton, AB T5J 2J7",53.6356,-113.375212,Specialty Care,,
small,Villa Caritas,"11111 Jasper Ave, Edmonton, AB T5K 0L1",53.539715,-113.51302,Specialty Care,,
small,Claresholm Centre for Mental Health and Addictions,"139 43 Ave W, Claresholm, AB T0L 0T0",50.019265,-113.580452,Specialty Care,,
small,Southern Alberta Forensic Psychiatry Centre,"11333 85 St NW, Calgary, AB T3R 1J3",51.157389,-114.211031,Specialty Care,,
medium,Chinook Regional Hospital,"960 19 St S, Lethbridge, AB T1J 1W5",49.68535,-112.815185,Regional,,
medium,Medicine Hat Regional Hospital,"666 5 St SW, Medicine Hat, AB T1A 4H6",50.035606,-110.703859,Regional,,
medium,Rockyview General Hospital,"7007 14 St SW, Calgary, AB T2V 1P9",50.989822,-114.096632,Regional,,
medium,Peter Lougheed Centre,"3500 26 Ave NE, Calgary, AB T1Y 6J4",51.078301,-113.983868,Regional,,
medium,South Health Campus,"4448 Front Street, Calgary, AB T3M 1M4",50.882317,-113.950965,Regional,,
medium,Red Deer Regional Hospital Centre,"3942 50a Ave, Red Deer, AB T4N 4E7",52.260654,-113.817445,Regional,,
medium,Grey Nuns Community Hospital,"1100 Youville Drive NW, Edmonton, AB T6L 5X8",53.461583,-113.429724,Regional,,
medium,Misericordia Community Hospital,"16940 87 Avenue Northwest, Edmonton, AB T5R 4H5",53.521114,-113.612988,Regional,,
medium,Sturgeon Community Hospital,"201 Boudreau Road, St Albert, AB T8N 6C4",53.655937,-113.627488,Regional,,
medium,Queen Elizabeth II Hospital,"10409 98 St, Grande Prairie, AB T8V 2E8",55.175292,-118.786568,Regional,,
medium,Northern Lights Regional Health Centre,"7 Hospital Street, Fort McMurray, AB T9H 1P2",56.716352,-111.362239,Regional,,
small,Brooks Health Centre,"440 3 Street E, Brooks, AB T1R 0G5",50.567656,-111.890977,Community (Full Service),,
small,Pincher Creek Health Centre,"1222 Bev McLachlin Dr, Pincher Creek, AB T0K 1W0",49.494718,-113.946098,Community (Full Service),,
small,Cardston Health Centre,"144 2 St W, Cardston, AB T0K 0K0",49.201573,-113.307242,Community (Full Service),,
small,Taber Health Centre,"4326 50 Ave, Taber, AB T1G 1N9",49.785013,-112.165138,Community (Full Service),,
