REIR,Cluster,LQ
Battle River,Aerospace Vehicles and Defense,0
Battle River,Agricultural Inputs and Services,2.645254776
Battle River,Apparel,0
Battle River,Automotive,0.134390083
Battle River,Biopharmaceuticals,0
Battle River,Business Services,0.320348581
Battle River,Coal Mining,1.540621578
Battle River,Communications Equipment and Services,0
Battle River,Construction Products and Services,1.884302066
Battle River,Distribution and Electronic Commerce,0.881557607
Battle River,Downstream Chemical Products,0
Battle River,Downstream Metal Products,1.352604687
Battle River,Education and Knowledge Creation,0.244580936
Battle River,Electric Power Generation and Transmission,0.011552277
Battle River,Environmental Services,8.541537606
Battle River,Financial Services,0.166769001
Battle River,Fishing and Fishing Products,0
Battle River,Food Processing and Manufacturing,1.467471468
Battle River,Footwear,0
Battle River,Forestry,0.573604
Battle River,Furniture,0.475588537
Battle River,Grand Total,1
Battle River,Hospitality and Tourism,0.945307621
Battle River,Information Technology and Analytical Instruments,0.223292013
Battle River,Insurance Services,0.181617178
Battle River,Jewelry and Precious Metals,0
Battle River,Leather and Related Products,0.678762818
Battle River,Lighting and Electrical Equipment,0.063433045
Battle River,Livestock Processing,0.892921932
Battle River,Local Commercial Services,0.717420655
Battle River,Local Community and Civic Organizations,1.01566427
Battle River,Local Education and Training,1.608177197
Battle River,Local Entertainment and Media,0.735835824
Battle River,Local Financial Services,1.296930627
Battle River,Local Food and Beverage Processing and Distribution,1.043123436
Battle River,Local Health Services,1.684794636
Battle River,Local Hospitality Establishments,0.758533601
Battle River,Local Household Goods and Services,0.935818967
Battle River,Local Industrial Products and Services,0.742592114
Battle River,Local Logistical Services,1.646234951
Battle River,Local Motor Vehicle Products and Services,1.449553298
Battle River,Local Personal Services (Non-Medical),0.74577395
Battle River,"Local Real Estate, Construction, and Development",0.711968534
Battle River,Local Retailing of Clothing and General Merchandise,1.329420316
Battle River,Local Utilities,1.141762157
Battle River,"Marketing, Design, and Publishing",0.749149125
Battle River,Medical Devices,0.384238778
Battle River,Metal Mining,0
Battle River,Metalworking Technology,5.565243846
Battle River,Music and Sound Recording,0
Battle River,Nonmetal Mining,3.014212769
Battle River,Oil and Gas Production and Transportation,1.136445443
Battle River,Paper and Packaging,0
Battle River,Performing Arts,0.534422657
Battle River,Plastics,0.200724355
Battle River,Printing Services,0.616282558
Battle River,Production Technology and Heavy Machinery,0.378966204
Battle River,Recreational and Small Electric Goods,0.778496466
Battle River,Textile Manufacturing,2.977591606
Battle River,"Trailers, Motor Homes, and Appliances",0.196388709
Battle River,Transportation and Logistics,0.675480216
Battle River,Upstream Chemical Products,0.058034488
Battle River,Upstream Metal Manufacturing,6.147311348
Battle River,Video Production and Distribution,0
Battle River,Vulcanized and Fired Materials,1.350472476
Battle River,Water Transportation,0
Battle River,Wood Products,0
Calgary,Aerospace Vehicles and Defense,1.663255407
Calgary,Agricultural Inputs and Services,0.948680584
Calgary,Apparel,0.92590813
Calgary,Automotive,0.377396268
Calgary,Biopharmaceuticals,0.345600593
Calgary,Business Services,1.538670396
Calgary,Coal Mining,0.447910925
Calgary,Communications Equipment and Services,2.354384973
Calgary,Construction Products and Services,0.561710047
Calgary,Distribution and Electronic Commerce,0.974821125
Calgary,Downstream Chemical Products,1.065310132
Calgary,Downstream Metal Products,0.68085182
Calgary,Education and Knowledge Creation,0.907445932
Calgary,Electric Power Generation and Transmission,1.104946083
Calgary,Environmental Services,0.502470373
Calgary,Financial Services,1.174724476
Calgary,Fishing and Fishing Products,0.825601416
Calgary,Food Processing and Manufacturing,0.920194668
Calgary,Footwear,2.153742824
Calgary,Forestry,0.088067879
Calgary,Furniture,1.08763755
Calgary,Grand Total,1
Calgary,Hospitality and Tourism,0.951517692
Calgary,Information Technology and Analytical Instruments,1.53810363
Calgary,Insurance Services,0.823565407
Calgary,Jewelry and Precious Metals,1.179430594
Calgary,Leather and Related Products,0.570692223
Calgary,Lighting and Electrical Equipment,1.235202118
Calgary,Livestock Processing,1.190285645
Calgary,Local Commercial Services,1.005203972
Calgary,Local Community and Civic Organizations,0.906210069
Calgary,Local Education and Training,0.774442101
Calgary,Local Entertainment and Media,1.112400894
Calgary,Local Financial Services,1.113339592
Calgary,Local Food and Beverage Processing and Distribution,0.95009645
Calgary,Local Health Services,0.921626953
Calgary,Local Hospitality Establishments,1.00399155
Calgary,Local Household Goods and Services,1.015023008
Calgary,Local Industrial Products and Services,0.812209372
Calgary,Local Logistical Services,0.682638424
Calgary,Local Motor Vehicle Products and Services,0.71310932
Calgary,Local Personal Services (Non-Medical),0.911236727
Calgary,"Local Real Estate, Construction, and Development",0.913843135
Calgary,Local Retailing of Clothing and General Merchandise,0.871128685
Calgary,Local Utilities,1.107902312
Calgary,"Marketing, Design, and Publishing",1.341256489
Calgary,Medical Devices,1.283630723
Calgary,Metal Mining,0.550400944
Calgary,Metalworking Technology,0.581864741
Calgary,Music and Sound Recording,1.087377474
Calgary,Nonmetal Mining,0.765585186
Calgary,Oil and Gas Production and Transportation,1.187291612
Calgary,Paper and Packaging,0.253295346
Calgary,Performing Arts,1.590249769
Calgary,Plastics,1.113853096
Calgary,Printing Services,1.202130932
Calgary,Production Technology and Heavy Machinery,0.950166031
Calgary,Recreational and Small Electric Goods,1.492366196
Calgary,Textile Manufacturing,1.034783446
Calgary,"Trailers, Motor Homes, and Appliances",0.059443302
Calgary,Transportation and Logistics,0.858094025
Calgary,Upstream Chemical Products,0.294718236
Calgary,Upstream Metal Manufacturing,1.131339204
Calgary,Video Production and Distribution,1.560619604
Calgary,Vulcanized and Fired Materials,0.990116123
Calgary,Water Transportation,0.165120283
Calgary,Wood Products,0.5358002
Capital,Aerospace Vehicles and Defense,0.098402154
Capital,Agricultural Inputs and Services,0.925593308
Capital,Apparel,1.56789476
Capital,Automotive,1.858707357
Capital,Biopharmaceuticals,2.368771236
Capital,Business Services,0.827318508
Capital,Coal Mining,1.587369368
Capital,Communications Equipment and Services,0.078001825
Capital,Construction Products and Services,1.581478706
Capital,Distribution and Electronic Commerce,1.00614569
Capital,Downstream Chemical Products,1.189419151
Capital,Downstream Metal Products,1.622784744
Capital,Education and Knowledge Creation,1.203950805
Capital,Electric Power Generation and Transmission,1.45020164
Capital,Environmental Services,0.557790333
Capital,Financial Services,1.160984658
Capital,Fishing and Fishing Products,1.664332731
Capital,Food Processing and Manufacturing,0.841500322
Capital,Footwear,0.39075638
Capital,Forestry,0.287101623
Capital,Furniture,0.642008091
Capital,Grand Total,1
Capital,Hospitality and Tourism,1.025651505
Capital,Information Technology and Analytical Instruments,0.986763976
Capital,Insurance Services,1.544073917
Capital,Jewelry and Precious Metals,0.927271093
Capital,Leather and Related Products,2.070828744
Capital,Lighting and Electrical Equipment,1.235992834
Capital,Livestock Processing,0.269943854
Capital,Local Commercial Services,1.07231949
Capital,Local Community and Civic Organizations,1.096201971
Capital,Local Education and Training,0.814598087
Capital,Local Entertainment and Media,0.89692685
Capital,Local Financial Services,1.097785224
Capital,Local Food and Beverage Processing and Distribution,1.025700578
Capital,Local Health Services,1.013880619
Capital,Local Hospitality Establishments,1.049795781
Capital,Local Household Goods and Services,0.891350061
Capital,Local Industrial Products and Services,1.36940801
Capital,Local Logistical Services,0.942538742
Capital,Local Motor Vehicle Products and Services,0.987288992
Capital,Local Personal Services (Non-Medical),1.246973546
Capital,"Local Real Estate, Construction, and Development",1.107904627
Capital,Local Retailing of Clothing and General Merchandise,1.041420093
Capital,Local Utilities,1.323601546
Capital,"Marketing, Design, and Publishing",0.852562209
Capital,Medical Devices,1.125378375
Capital,Metal Mining,1.664332731
Capital,Metalworking Technology,1.653906214
Capital,Music and Sound Recording,1.607501857
Capital,Nonmetal Mining,0.642349065
Capital,Oil and Gas Production and Transportation,0.444483883
Capital,Paper and Packaging,0.169032483
Capital,Performing Arts,0.857765426
Capital,Plastics,1.312141962
Capital,Printing Services,1.117679512
Capital,Production Technology and Heavy Machinery,1.303028253
Capital,Recreational and Small Electric Goods,0.614360454
Capital,Textile Manufacturing,1.090115509
Capital,"Trailers, Motor Homes, and Appliances",1.789490553
Capital,Transportation and Logistics,1.105595431
Capital,Upstream Chemical Products,1.18746009
Capital,Upstream Metal Manufacturing,0.949645433
Capital,Video Production and Distribution,0.948513136
Capital,Vulcanized and Fired Materials,0.84966424
Capital,Water Transportation,1.255382403
Capital,Wood Products,0.693191877
Central,Aerospace Vehicles and Defense,0.229678657
Central,Agricultural Inputs and Services,1.205228899
Central,Apparel,0.955742264
Central,Automotive,0.789520385
Central,Biopharmaceuticals,1.045381265
Central,Business Services,0.370823114
Central,Coal Mining,0.485024679
Central,Communications Equipment and Services,0.010414599
Central,Construction Products and Services,1.173883199
Central,Distribution and Electronic Commerce,1.035539144
Central,Downstream Chemical Products,0.488668096
Central,Downstream Metal Products,0.864972155
Central,Education and Knowledge Creation,0.737769556
Central,Electric Power Generation and Transmission,0.007403759
Central,Environmental Services,1.910172713
Central,Financial Services,1.003697437
Central,Fishing and Fishing Products,0
Central,Food Processing and Manufacturing,0.793854771
Central,Footwear,0
Central,Forestry,1.161460004
Central,Furniture,1.064921218
Central,Grand Total,1
Central,Hospitality and Tourism,0.893565712
Central,Information Technology and Analytical Instruments,0.542068221
Central,Insurance Services,0.533486031
Central,Jewelry and Precious Metals,1.12378486
Central,Leather and Related Products,0
Central,Lighting and Electrical Equipment,0.935035465
Central,Livestock Processing,1.543384883
Central,Local Commercial Services,0.77057721
Central,Local Community and Civic Organizations,1.051420656
Central,Local Education and Training,1.51699561
Central,Local Entertainment and Media,1.005175425
Central,Local Financial Services,0.760087214
Central,Local Food and Beverage Processing and Distribution,0.998617596
Central,Local Health Services,1.354421826
Central,Local Hospitality Establishments,0.992671304
Central,Local Household Goods and Services,1.127719588
Central,Local Industrial Products and Services,0.721928722
Central,Local Logistical Services,1.122174083
Central,Local Motor Vehicle Products and Services,1.564544581
Central,Local Personal Services (Non-Medical),0.964967321
Central,"Local Real Estate, Construction, and Development",1.191494073
Central,Local Retailing of Clothing and General Merchandise,1.246033154
Central,Local Utilities,0.350121988
Central,"Marketing, Design, and Publishing",0.651461687
Central,Medical Devices,0.383064056
Central,Metal Mining,0
Central,Metalworking Technology,0.782337306
Central,Music and Sound Recording,0.383731415
Central,Nonmetal Mining,1.287856076
Central,Oil and Gas Production and Transportation,1.044069808
Central,Paper and Packaging,0
Central,Performing Arts,0.431856747
Central,Plastics,0.634636748
Central,Printing Services,0.554055715
Central,Production Technology and Heavy Machinery,1.418854377
Central,Recreational and Small Electric Goods,0.964601803
Central,Textile Manufacturing,1.781092985
Central,"Trailers, Motor Homes, and Appliances",0
Central,Transportation and Logistics,0.695279218
Central,Upstream Chemical Products,3.682188689
Central,Upstream Metal Manufacturing,1.631144503
Central,Video Production and Distribution,0.049319712
Central,Vulcanized and Fired Materials,0.78857275
Central,Water Transportation,6.443033195
Central,Wood Products,0.998962615
Mackenzie,Aerospace Vehicles and Defense,0
Mackenzie,Agricultural Inputs and Services,0.363807248
Mackenzie,Apparel,0
Mackenzie,Automotive,0
Mackenzie,Biopharmaceuticals,0
Mackenzie,Business Services,0.153045095
Mackenzie,Coal Mining,0
Mackenzie,Communications Equipment and Services,0.050509162
Mackenzie,Construction Products and Services,0.455247242
Mackenzie,Distribution and Electronic Commerce,0.451577153
Mackenzie,Downstream Chemical Products,0
Mackenzie,Downstream Metal Products,0.027659198
Mackenzie,Education and Knowledge Creation,0.05321486
Mackenzie,Electric Power Generation and Transmission,0
Mackenzie,Environmental Services,4.08446313
