Key,CompanyName,OperatingAs,Latitude,Longitude,FullAddress,FSA,PhoneNumber,FAXNumber,WebAddress,LineOfBusiness,FacilitySize,IsImporter,IsExporter,IsManufacturing,LocationType,UltimateParent,Immediate Parent,FiscalYear-End,Revenue,TotalEmployees,Employee Growth (%),EmployeesThisLocation,MarketValue,Year of Founding,PrimaryIndustry,PrimaryNAICS,,Cluster
171,Formula Powell L.P.,,55.172207,-118.831114," Grande Prairie, Alberta, T8V 2Z7",T8V,780-539-5910,780-539-5822,,Oilfield warehouse/transportation and hauling services.,53669,No,No,No,HEADQUARTERS,Mullen Group Ltd,Mullen Group Ltd,,121.1112,1000,,,,2006,Truckload Carriers,484121,48,Transportation and Logistics
304,Shell Canada Limited,,56.23234,-117.289899," Peace River, Alberta, T8S 1V8",T8S,780-624-6800,403-624-4873,www.shell.ca,,17416,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,90,,,Oil & Gas Exploration & Production,211111,21,Forestry
632,NOVA Chemicals Corporation,,51.04729,-114.084071,"1000 7 Ave Sw Suite 1000, Calgary, Alberta, T2P 5L5",T2P,403-750-3600,403-269-7410,http://www.novachem.com,NOVA Chemicals Corporation manufactures a broad range of low  density polyethylene (LDPE) linear low density polyethylene  (LLDPE) high density polyethylene (HDPE) and polystyrene (PS)  resins from our plants in North America and Europe.  Those ...,29956,No,Yes,Yes,HEADQUARTERS,GULF CoNSULTING & SoFTWARE FZC,INTERNATIONAL PETROLEUM INVESTMENT COMPANY PJSC.,December,5278,2450,,50,,1954,Industrial Chemical Manufacturing,325211,32,Upstream Chemical Products
653,Western Refractory Services Limited,,53.46469,-113.487651,"10008 32 Ave Nw, Edmonton, Alberta, T6N 1G7",T6N,780-466-4540,780-465-5099,www.westernrefractories.com,Supply and install firebrick linings in furnaces boilers industrial chimney and other high temperature process units.,3552,Yes,No,No,SINGLE_LOCATION,Integra Management Limited,Integra Management Limited,,0.7209,10,,10,,1982,Concrete & Masonry Contractors,238140,23,"Local Real Estate, Construction, and Development"
786,Deep Basin Contracting Ltd,,55.736588,-117.194264,"101 3 St W, Beaverlodge, Alberta, T0H 0C0",T0H,780-354-2696,780-354-8099,www.deepbasincontracting.ca,Oilfield road constructin and lease reclamation.,6394,No,No,No,SINGLE_LOCATION,,,,1.80225,25,,25,,1977,Site Preparation Contractors,238910,23,"Local Real Estate, Construction, and Development"
858,Pyramid Corporation,,51.46043,-112.729821,"1011 Premier Cres, Drumheller, Alberta, T0J 0Y0",T0J,403-823-9900,403-823-6625,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,3229,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,6,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
1043,Gateway Mechanical Services Inc,,50.02823,-110.663951,"1023 Allowance Ave Se Unit 6, Medicine Hat, Alberta, T1A 8A9",T1A,403-526-0463,,www.gatewaymechanical.ca,Gateway Mechanical Services Ltd. is a division of Vector Industries Inc. The company specializes in complicated mechanical installations that incorporate industrial heating or cooling design elements. For example we design and install huge walk in ...,2874,No,Yes,No,BRANCH,Vector Industries Inc,Gateway Mechanical Services Inc,,,,,5,,,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
1105,Canadian Western Bank,,53.54042,-113.498151,"10303 Jasper Ave Nw Suite 3000, Edmonton, Alberta, T5J 3N6",T5J,780-423-8888,780-423-8897,http://www.cwbank.com,Chartered commercial bank specialising in industrial needs and heavy equipment financing.  Member of :  Canadian Bankers Assoc.,82301,No,No,No,HEADQUARTERS,Canadian Western Bank,Canadian Western Bank,October,734.902938,1928,-7.93,1250,1633.0193,1984,Banks & Credit Unions,522110,52,Financial Services
1366,Dirham Homes,,55.1865251,-118.8119189,"10530 117 Ave Suite 111, Grande Prairie, Alberta, T8V 7N7",T8V,780-532-4094,,www.dirhamhomes.com,Dirham homes builds all types of homes. A subsiduary company Distinct Homes builds entry level homes. Prudential Lands develops single family sub-divisions. Approximately 200 lots per year.  Member of :  Alberta Home Builders Assoc.,1033,No,No,No,SINGLE_LOCATION,,,,,1,,1,,,Specialty Contractors,238990,23,"Local Real Estate, Construction, and Development"
1460,Shell Canada Limited,Westlock Shell,54.1522549,-113.8437794,"10620 100 St, Westlock, Alberta, T7P 2C5",T7P,780-349-6265,780-349-3609,www.shell.ca,,5113,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,10,,,Car Washes,811192,81,Local Motor Vehicle Products and Services
1472,Pride Paint & Tile,,53.5508,-113.514471,"10640 112 St Nw Suite 202, Edmonton, Alberta, T5H 3G8",T5H,,,,Since 1998 Pride Paint & Tile has been providing residents of Edmonton Sherwood Park St Albert Nisku and Leduc with the highest quality painting services available.  Pride is proud to work alongside some of Sherwood Park and Edmonton's most ...,3197,No,No,No,SINGLE_LOCATION,,,,0.529099,5,,5,,1998,Specialty Contractors,238340,23,"Local Real Estate, Construction, and Development"
1482,Plumbers Edmonton,,53.51847,-113.5058,"10654 82 Avenue Nw Suite 1, Edmonton, Alberta, T6E 2A7",T6E,587-408-3450,,www.plumbers-edmonton.ca,Our plumbing professionals provide homeowners with dependable ultra-speedy services 24 hours a day 7 days a week. All of our pipe fitters and HVAC technicians are fully licensed bonded and insured and offer a 100% satisfaction guarantee.  We ...,1033,No,No,No,SINGLE_LOCATION,,,,0.094764,1,,1,,,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
1626,Pyramid Corporation,,56.72465,-111.453271,"108 Wallace Pl, Fort Mcmurray, Alberta, T9H 4P9",T9H,,,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,1033,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,1,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
1746,Pyramid Corporation,,55.15069,-118.826551,"10945 78 Ave, Grande Prairie, Alberta, T8W 2L2",T8W,780-539-9367,780-539-9370,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,5769,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,15,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
1902,Grande Prairie Regional College,GPRC Edson,53.5781717,-116.4391209,"111 54 St Unit 200, Edson, Alberta, T7E 1T2",T7E,780-723-5206,780-723-4227,www.gprc.ab.ca,,2379,No,Yes,No,BRANCH,Grande Prairie Regional College,Grande Prairie Regional College,,,,,3,,,Colleges & Universities,611310,61,Education and Knowledge Creation
2202,Lone Pine Resources Canada Ltd,Invasion Energy,55.168722,-118.839768,"11443 98 Ave, Grande Prairie, Alberta, T8V 5S5",T8V,,,www.lonepineresources.com,,3444,No,Yes,No,BRANCH,Lone Pine Resources Canada Ltd,Lone Pine Resources Canada Ltd,,,,,,,,Oil & Gas Well Drilling,213111,21,Oil and Gas Production and Transportation
2713,High Velocity Heating Ltd,,50.9178,-114.092621,"1214 Millview Rd Sw, Calgary, Alberta, T2Y 2C7",T2Y,403-938-1737,,,,1033,No,No,No,SINGLE_LOCATION,,,,0.094764,1,,1,,,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
2924,ATCO Structures & Logistics Ltd,,51.095966,-114.034865,"1243 Mcknight Blvd Ne Suite 511, Calgary, Alberta, T2E 5T1",T2E,403-292-7804,403-292-7811,www.atcofrontec.com,"ATCO Structures & Logistics (ASL) is a diverse international company focused on:  •	Airfield services •	Camp accommodations and services   •	Remote site operations maintenance and management •	Logistics support in remote areas •	Modular ...",1033,No,Yes,No,BRANCH,ATCO Ltd,ATCO Structures & Logistics Ltd,,9.06269,,,1,,,"Drywall, Plaster, Acoustic & Insulation Contractors",238310,23,"Local Real Estate, Construction, and Development"
3017,Enerflex Ltd.,Syntech Enerflex,50.06119,-110.715281,"1269 Brier Park Dr Nw, Medicine Hat, Alberta, T1C 1T1",T1C,,,,Enerflex Ltd. (TSX: EFX) is an international company delivering products services and integrated solutions to all corners of the world focusing on processing and moving your energy between the wellhead and the market.  Enerflex is the ...,4736,No,Yes,No,BRANCH,Enerflex Ltd.,Enerflex Ltd.,,,,,11,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
3178,Pyramid Corporation,,56.66716,-111.343201,"130 Mackenzie King Rd, Fort Mcmurray, Alberta, T9H 4L2",T9H,780-743-8801,780-743-1114,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,21560,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,120,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
3369,Enerflex Ltd.,ENERFLEX PRODUCTION AND PROCESSING,51.040085,-114.058587,"1331 Macleod Trail Se Suite 904, Calgary, Alberta, T2G 0K3",T2G,403-387-6377,403-720-4385,http://www.enerflex.com,Enerflex Ltd. (TSX: EFX) is an international company delivering products services and integrated solutions to all corners of the world focusing on processing and moving your energy between the wellhead and the market.  Enerflex is the ...,30322,Yes,Yes,Yes,HEADQUARTERS,Enerflex Ltd.,Enerflex Ltd.,December,1531.249727,3100,,50,983.6809,2003,Industrial Equipment Wholesalers,333912,33,Production Technology and Heavy Machinery
3627,Weatherford Canada Partnership,,53.317503,-113.527693,"1403 6 St, Nisku, Alberta, T9E 7M7",T9E,780-955-2761,,,Weatherford International Ltd. is the fourth largest diversified upstream oilfield service company in the world.  Our broad portfolio of products and services offers everything for the life cycle of a well - from drilling evaluation completion ...,12002,No,Yes,No,BRANCH,Weatherford Canada Partnership,Weatherford Canada Partnership,,,,,,,,Oil & Gas Well Drilling,213111,21,Oil and Gas Production and Transportation
3718,Pro Insul Limited,,53.58545,-113.566971,"14212 128 Ave Nw, Edmonton, Alberta, T5L 3H5",T5L,780-452-4724,780-448-9802,www.proinsul.com,PRO INSUL LIMITED is a specialty mechanical contractor headquartered in Stoney Creek ON with branch offices in Edmonton AB; Saint John NB; and Dartmouth NS. The Dartmouth operation includes the Marine and Offshore Division that provides ...,6921,No,No,No,BRANCH,Pro Insul Limited,Pro Insul Limited,,,,,20,,,Specialty Contractors,238990,23,"Local Real Estate, Construction, and Development"
